Classifier,Granularity,Accuracy,F1,Precision,Recall
Nearest Neighbors,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
Linear SVM,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
RBF SVM,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
Gaussian Process,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
Decision Tree,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
Random Forest,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
Neural Net,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
AdaBoost,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
Naive Bayes,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
QDA,2.0,80.91787439613528,80.96385542168674,68.0161943319838,100.0
Nearest Neighbors,3.0,100.0,100.0,100.0,100.0
Linear SVM,3.0,100.0,100.0,100.0,100.0
RBF SVM,3.0,100.0,100.0,100.0,100.0
Gaussian Process,3.0,100.0,100.0,100.0,100.0
Decision Tree,3.0,100.0,100.0,100.0,100.0
Random Forest,3.0,100.0,100.0,100.0,100.0
Neural Net,3.0,100.0,100.0,100.0,100.0
AdaBoost,3.0,100.0,100.0,100.0,100.0
Naive Bayes,3.0,100.0,100.0,100.0,100.0
QDA,3.0,100.0,100.0,100.0,100.0
Nearest Neighbors,4.0,100.0,100.0,100.0,100.0
Linear SVM,4.0,100.0,100.0,100.0,100.0
RBF SVM,4.0,100.0,100.0,100.0,100.0
Gaussian Process,4.0,100.0,100.0,100.0,100.0
Decision Tree,4.0,100.0,100.0,100.0,100.0
Random Forest,4.0,100.0,100.0,100.0,100.0
Neural Net,4.0,100.0,100.0,100.0,100.0
AdaBoost,4.0,100.0,100.0,100.0,100.0
Naive Bayes,4.0,100.0,100.0,100.0,100.0
QDA,4.0,100.0,100.0,100.0,100.0
Nearest Neighbors,5.0,100.0,100.0,100.0,100.0
Linear SVM,5.0,100.0,100.0,100.0,100.0
RBF SVM,5.0,100.0,100.0,100.0,100.0
Gaussian Process,5.0,100.0,100.0,100.0,100.0
Decision Tree,5.0,100.0,100.0,100.0,100.0
Random Forest,5.0,100.0,100.0,100.0,100.0
Neural Net,5.0,100.0,100.0,100.0,100.0
AdaBoost,5.0,100.0,100.0,100.0,100.0
Naive Bayes,5.0,100.0,100.0,100.0,100.0
QDA,5.0,100.0,100.0,100.0,100.0
Nearest Neighbors,6.0,100.0,100.0,100.0,100.0
Linear SVM,6.0,100.0,100.0,100.0,100.0
RBF SVM,6.0,100.0,100.0,100.0,100.0
Gaussian Process,6.0,100.0,100.0,100.0,100.0
Decision Tree,6.0,100.0,100.0,100.0,100.0
Random Forest,6.0,100.0,100.0,100.0,100.0
Neural Net,6.0,100.0,100.0,100.0,100.0
AdaBoost,6.0,100.0,100.0,100.0,100.0
Naive Bayes,6.0,100.0,100.0,100.0,100.0
QDA,6.0,100.0,100.0,100.0,100.0
